日期,TTM,Static
2007-01-15,35.13,41.43
2007-01-16,38.36,45.23
2007-01-17,38.02,44.76
2007-01-18,38.88,45.74
2007-01-19,40.2,47.01
2007-01-22,42.1,49.22
2007-01-23,42.04,49.06
2007-01-24,42.5,49.57
2007-01-25,40.43,47.12
2007-01-26,40.48,47.34
2007-01-29,41.76,48.78
2007-01-30,41.7,48.75
2007-01-31,39.62,46.29
2007-02-01,39.9,46.58
2007-02-02,39.16,45.13
2007-02-05,39.62,45.65
2007-02-06,40.43,46.52
2007-02-07,41.13,47.23
2007-02-08,41.92,47.96
2007-02-09,41.72,47.65
2007-02-12,42.65,48.62
2007-02-13,43.53,49.64
2007-02-14,44.49,50.7
2007-02-15,45.76,51.92
2007-02-16,46.4,52.73
2007-02-26,48.1,54.73
2007-02-27,43.81,49.88
2007-02-28,45.58,51.95
2007-03-01,44.46,50.72
2007-03-02,45.26,51.44
2007-03-05,45.47,51.43
2007-03-06,45.5,51.2
2007-03-07,46.65,52.49
2007-03-08,47.18,52.09
2007-03-09,46.94,51.81
2007-03-12,47.7,52.31
2007-03-13,48.18,52.53
2007-03-14,47.76,52.06
2007-03-15,48.56,52.81
2007-03-16,47.85,51.93
2007-03-19,48.49,52.58
2007-03-20,49.19,53.01
2007-03-21,49.91,53.81
2007-03-22,49.86,53.75
2007-03-23,50.39,54.19
2007-03-26,51.84,55.58
2007-03-27,52.45,56.03
2007-03-28,51.52,54.68
2007-03-29,49.84,52.72
2007-03-30,50.36,52.58
2007-04-02,51.44,53.49
2007-04-03,52.15,53.99
2007-04-04,52.81,54.63
2007-04-05,53.73,55.23
2007-04-06,54.6,56.0
2007-04-09,55.41,56.63
2007-04-10,55.48,56.8
2007-04-11,56.13,57.28
2007-04-12,57.27,58.59
2007-04-13,57.06,58.3
2007-04-16,58.51,60.17
2007-04-17,59.88,61.72
2007-04-18,60.79,62.44
2007-04-19,57.02,58.29
2007-04-20,59.1,60.35
2007-04-23,60.86,62.17
2007-04-24,61.12,62.57
2007-04-25,60.22,62.12
2007-04-26,60.12,63.29
2007-04-27,59.32,62.97
2007-04-30,58.93,62.56
2007-05-08,61.67,65.49
2007-05-09,61.62,65.46
2007-05-10,62.0,65.9
2007-05-11,61.69,65.58
2007-05-14,61.96,65.89
2007-05-15,59.91,63.7
2007-05-16,61.76,65.66
2007-05-17,63.35,67.36
2007-05-18,63.5,67.56
2007-05-21,65.36,69.54
2007-05-22,66.73,71.0
2007-05-23,68.58,72.97
2007-05-24,68.29,72.69
2007-05-25,69.55,73.93
2007-05-28,71.32,75.82
2007-05-29,72.83,77.4
2007-05-30,66.92,71.11
2007-05-31,64.53,68.49
2007-06-01,60.13,63.78
2007-06-04,54.96,58.26
2007-06-05,55.85,59.15
2007-06-06,57.07,60.42
2007-06-07,60.08,63.62
2007-06-08,61.19,64.78
2007-06-11,62.92,66.56
2007-06-12,64.82,68.52
2007-06-13,67.0,70.87
2007-06-14,66.09,69.93
2007-06-15,66.28,70.11
2007-06-18,68.21,72.13
2007-06-19,69.47,73.48
2007-06-20,67.56,71.46
2007-06-21,67.26,71.13
2007-06-22,63.55,67.18
2007-06-25,59.5,62.89
2007-06-26,60.72,64.15
2007-06-27,62.14,65.66
2007-06-28,58.07,61.34
2007-06-29,55.54,58.65
2007-07-02,54.11,58.08
2007-07-03,55.17,59.2
2007-07-04,54.01,57.93
2007-07-05,50.41,54.08
2007-07-06,53.49,57.39
2007-07-09,55.27,59.32
2007-07-10,53.48,57.57
2007-07-11,54.13,58.28
2007-07-12,54.24,58.6
2007-07-13,54.09,58.41
2007-07-16,52.19,56.49
2007-07-17,53.19,57.72
2007-07-18,53.3,57.96
2007-07-19,53.47,58.22
2007-07-20,55.38,60.59
2007-07-23,57.83,63.73
2007-07-24,58.0,63.91
2007-07-25,59.31,65.8
2007-07-26,60.14,67.04
2007-07-27,60.93,68.34
2007-07-30,61.88,69.72
2007-07-31,62.06,70.54
2007-08-01,58.73,66.84
2007-08-02,61.24,69.7
2007-08-03,62.17,70.86
2007-08-06,63.41,72.43
2007-08-07,62.71,71.99
2007-08-08,61.52,70.78
2007-08-09,61.53,71.45
2007-08-10,60.01,69.89
2007-08-13,59.29,69.44
2007-08-14,60.08,71.1
2007-08-15,59.49,70.7
2007-08-16,59.5,71.05
2007-08-17,58.51,70.29
2007-08-20,60.63,73.22
2007-08-21,60.86,74.09
2007-08-22,61.38,74.97
2007-08-23,61.94,75.71
2007-08-24,61.88,75.81
2007-08-27,60.49,75.75
2007-08-28,60.25,75.87
2007-08-29,59.34,75.26
2007-08-30,61.01,77.51
2007-08-31,61.44,78.37
2007-09-03,62.86,80.14
2007-09-04,62.57,79.68
2007-09-05,63.02,80.23
2007-09-06,63.78,81.14
2007-09-07,62.26,79.22
2007-09-10,63.48,80.79
2007-09-11,59.41,75.58
2007-09-12,59.99,76.36
2007-09-13,61.27,77.96
2007-09-14,61.94,78.82
2007-09-17,63.36,80.59
2007-09-18,64.05,81.49
2007-09-19,63.27,80.49
2007-09-20,63.96,81.36
2007-09-21,63.35,80.58
2007-09-24,63.64,80.94
2007-09-25,63.1,80.25
2007-09-26,62.15,79.14
2007-09-27,62.84,79.96
2007-09-28,64.29,81.81
2007-10-08,64.33,81.92
2007-10-09,64.95,82.7
2007-10-10,64.51,82.2
2007-10-11,63.25,80.63
2007-10-12,61.91,79.01
2007-10-15,61.89,79.07
2007-10-16,62.46,79.98
2007-10-17,61.44,79.74
2007-10-18,59.91,77.91
2007-10-19,59.74,77.83
2007-10-22,57.54,75.83
2007-10-23,56.9,75.91
2007-10-24,55.22,74.48
2007-10-25,50.7,68.96
2007-10-26,49.11,68.63
2007-10-29,49.27,69.74
2007-10-30,50.02,71.36
2007-10-31,51.59,73.95
2007-11-01,50.26,72.04
2007-11-02,48.97,70.25
2007-11-05,49.28,70.72
2007-11-06,49.72,71.33
2007-11-07,49.61,71.16
2007-11-08,47.57,68.29
2007-11-09,46.98,67.47
2007-11-12,46.26,66.46
2007-11-13,46.41,66.71
2007-11-14,48.2,69.25
2007-11-15,47.63,68.42
2007-11-16,47.68,68.49
2007-11-19,48.77,70.06
2007-11-20,49.5,71.08
2007-11-21,48.82,70.08
2007-11-22,46.62,66.94
2007-11-23,47.53,68.25
2007-11-26,47.05,67.58
2007-11-27,46.55,66.9
2007-11-28,46.16,66.37
2007-11-29,47.43,68.16
2007-11-30,46.71,67.16
2007-12-03,47.22,67.9
2007-12-04,47.53,68.33
2007-12-05,48.49,69.68
2007-12-06,48.71,69.99
2007-12-07,49.55,71.18
2007-12-10,50.99,73.22
2007-12-11,51.54,74.01
2007-12-12,51.65,74.18
2007-12-13,50.02,71.85
2007-12-14,51.11,73.39
2007-12-17,51.15,73.46
2007-12-18,50.81,72.94
2007-12-19,51.94,74.54
2007-12-20,52.62,75.5
2007-12-21,53.43,76.65
2007-12-24,54.34,77.93
2007-12-25,54.8,78.61
2007-12-26,55.92,80.21
2007-12-27,56.51,81.05
2007-12-28,56.38,80.85
2008-01-02,59.71,82.18
2008-01-03,61.2,84.02
2008-01-04,61.35,84.23
2008-01-07,62.58,85.93
2008-01-08,60.83,83.53
2008-01-09,62.3,86.01
2008-01-10,62.62,86.56
2008-01-11,62.51,86.37
2008-01-14,63.4,87.5
2008-01-15,64.25,88.83
2008-01-16,63.21,87.59
2008-01-17,61.52,85.33
2008-01-18,61.88,86.03
2008-01-21,59.23,82.41
2008-01-22,54.18,75.33
2008-01-23,56.9,79.2
2008-01-24,58.81,81.86
