日期,TTM,Static
2005-01-04,13.04,16.68
2005-01-05,12.92,16.52
2005-01-06,12.82,16.39
2005-01-07,12.84,16.42
2005-01-10,13.0,16.62
2005-01-11,13.06,16.7
2005-01-12,13.05,16.69
2005-01-13,13.05,16.7
2005-01-14,12.97,16.59
2005-01-17,12.77,16.33
2005-01-18,12.83,16.41
2005-01-19,12.73,16.23
2005-01-20,12.58,16.04
2005-01-21,12.93,16.48
2005-01-24,13.14,16.74
2005-01-25,13.24,16.66
2005-01-26,13.18,16.59
2005-01-27,13.05,16.44
2005-01-28,12.99,16.36
2005-01-31,13.08,16.3
2005-02-01,13.05,16.05
2005-02-02,13.64,16.78
2005-02-03,13.52,16.48
2005-02-04,13.62,16.19
2005-02-16,13.69,16.27
2005-02-17,13.57,16.13
2005-02-18,13.41,15.94
2005-02-21,13.7,16.29
2005-02-22,14.02,16.67
2005-02-23,14.03,16.68
2005-02-24,13.98,16.56
2005-02-25,14.0,16.58
2005-02-28,14.01,16.6
2005-03-01,13.8,16.03
2005-03-02,13.55,15.73
2005-03-03,13.65,15.85
2005-03-04,13.32,14.33
2005-03-07,13.49,14.51
2005-03-08,13.82,14.87
2005-03-09,13.86,14.91
2005-03-10,13.51,14.54
2005-03-11,13.69,14.73
2005-03-14,13.84,14.89
2005-03-15,13.6,14.62
2005-03-16,13.45,14.44
2005-03-17,13.26,14.0
2005-03-18,13.08,13.81
2005-03-21,13.14,13.84
2005-03-22,12.82,13.22
2005-03-23,12.64,13.03
2005-03-24,12.6,12.94
2005-03-25,12.62,12.96
2005-03-28,12.64,12.98
2005-03-29,12.55,13.05
2005-03-30,12.33,12.65
2005-03-31,12.39,12.71
2005-04-01,12.89,13.22
2005-04-04,12.72,12.95
2005-04-05,12.68,12.91
2005-04-06,13.07,13.24
2005-04-07,13.14,13.3
2005-04-08,13.28,13.46
2005-04-11,13.09,13.11
2005-04-12,12.97,12.96
2005-04-13,13.14,13.15
2005-04-14,12.95,13.02
2005-04-15,12.95,13.0
2005-04-18,12.82,12.93
2005-04-19,12.57,12.91
2005-04-20,12.46,12.81
2005-04-21,12.26,12.71
2005-04-22,12.21,12.64
2005-04-25,11.92,12.58
2005-04-26,11.55,12.64
2005-04-27,11.55,12.65
2005-04-28,11.64,12.75
2005-04-29,11.45,12.55
2005-05-09,11.2,12.16
2005-05-10,11.22,12.17
2005-05-11,11.0,11.94
2005-05-12,10.78,11.7
2005-05-13,10.7,11.62
2005-05-16,10.59,11.5
2005-05-17,10.64,11.55
2005-05-18,10.58,11.49
2005-05-19,10.57,11.48
2005-05-20,10.57,11.47
2005-05-23,10.31,11.2
2005-05-24,10.32,11.21
2005-05-25,10.29,11.18
2005-05-26,10.17,11.05
2005-05-27,10.0,10.86
2005-05-30,9.96,10.82
2005-05-31,9.95,10.81
2005-06-01,9.63,10.47
2005-06-02,9.33,10.14
2005-06-03,9.35,10.16
2005-06-06,9.69,10.53
2005-06-07,9.66,10.5
2005-06-08,10.49,11.4
2005-06-09,10.54,11.46
2005-06-10,10.22,11.1
2005-06-13,10.23,11.12
2005-06-14,10.13,11.01
2005-06-15,9.91,10.76
2005-06-16,10.01,10.87
2005-06-17,9.96,10.82
2005-06-20,10.32,11.21
2005-06-21,10.19,11.07
2005-06-22,10.25,11.13
2005-06-23,10.23,11.11
2005-06-24,10.25,11.13
2005-06-27,10.47,11.37
2005-06-28,10.32,11.2
2005-06-29,10.15,11.03
2005-06-30,9.86,10.7
2005-07-01,9.74,10.56
2005-07-04,9.77,10.6
2005-07-05,9.71,10.53
2005-07-06,9.62,10.43
2005-07-07,9.64,10.45
2005-07-08,9.5,10.3
2005-07-11,9.46,10.26
2005-07-12,9.72,10.54
2005-07-13,9.65,10.47
2005-07-14,9.7,10.52
2005-07-15,9.64,10.45
2005-07-18,9.59,10.39
2005-07-19,9.61,10.41
2005-07-20,9.68,10.5
2005-07-21,9.71,10.53
2005-07-22,9.83,10.66
2005-07-25,9.78,10.6
2005-07-26,10.02,10.89
2005-07-27,10.24,11.15
2005-07-28,10.29,11.19
2005-07-29,10.27,11.17
2005-08-01,10.09,11.16
2005-08-02,10.27,11.37
2005-08-03,10.41,11.51
2005-08-04,10.36,11.45
2005-08-05,10.63,11.73
2005-08-08,10.68,11.78
2005-08-09,10.63,11.82
2005-08-10,10.64,11.84
2005-08-11,10.92,12.16
2005-08-12,10.7,11.9
2005-08-15,10.67,12.12
2005-08-16,10.62,12.06
2005-08-17,10.65,12.1
2005-08-18,10.08,11.65
2005-08-19,9.95,11.61
2005-08-22,10.05,11.74
2005-08-23,9.99,11.66
2005-08-24,10.02,11.72
2005-08-25,9.99,11.69
2005-08-26,9.94,11.63
2005-08-29,9.8,11.45
2005-08-30,9.88,11.42
2005-08-31,10.01,11.58
2005-09-01,10.2,11.8
2005-09-02,10.19,11.79
2005-09-05,10.26,11.88
2005-09-06,10.18,11.78
2005-09-07,10.35,11.98
2005-09-08,10.36,11.99
2005-09-09,10.26,11.88
2005-09-12,10.26,11.87
2005-09-13,10.44,12.09
2005-09-14,10.51,12.16
2005-09-15,10.47,12.11
2005-09-16,10.47,12.11
2005-09-19,10.47,12.12
2005-09-20,10.31,11.93
2005-09-21,10.12,11.72
2005-09-22,9.91,11.47
2005-09-23,9.86,11.4
2005-09-26,9.87,11.41
2005-09-27,9.72,11.24
2005-09-28,9.73,11.25
2005-09-29,9.87,11.41
2005-09-30,9.94,11.5
2005-10-10,9.88,11.42
2005-10-11,9.99,11.55
2005-10-12,10.03,11.61
2005-10-13,9.96,11.52
2005-10-14,9.82,11.37
2005-10-17,9.71,11.22
2005-10-18,9.79,11.27
2005-10-19,9.81,11.29
2005-10-20,9.78,11.26
2005-10-21,9.79,11.29
2005-10-24,9.81,11.33
2005-10-25,9.65,11.17
2005-10-26,9.53,10.94
2005-10-27,9.54,10.95
2005-10-28,9.49,10.85
2005-10-31,9.8,11.02
2005-11-01,9.77,10.99
2005-11-02,9.82,11.05
