日期,TTM,Static
2009-09-30,33.09,33.29
2009-10-09,34.75,35.04
2009-10-12,34.72,34.97
2009-10-13,35.01,35.42
2009-10-14,35.11,35.67
2009-10-15,35.16,35.81
2009-10-16,35.3,35.92
2009-10-19,36.12,37.08
2009-10-20,36.69,37.57
2009-10-21,36.62,37.54
2009-10-22,36.64,37.38
2009-10-23,37.28,38.07
2009-10-26,35.66,38.1
2009-10-27,34.1,37.01
2009-10-28,34.42,37.36
2009-10-29,34.2,36.48
2009-10-30,34.92,36.82
2009-11-02,34.85,38.03
2009-11-03,35.24,38.51
2009-11-04,35.38,38.72
2009-11-05,35.36,38.72
2009-11-06,35.59,38.99
2009-11-09,35.67,39.18
2009-11-10,35.89,39.4
2009-11-11,36.05,39.55
2009-11-12,36.26,39.79
2009-11-13,36.65,40.17
2009-11-16,37.65,41.35
2009-11-17,37.56,41.23
2009-11-18,37.57,41.2
2009-11-19,37.79,41.45
2009-11-20,37.85,41.47
2009-11-23,38.28,41.98
2009-11-24,36.92,40.56
2009-11-25,38.03,41.88
2009-11-26,36.6,40.33
2009-11-27,35.59,39.04
2009-11-30,37.27,40.87
2009-12-01,37.89,41.62
2009-12-02,38.19,41.98
2009-12-03,38.16,42.02
2009-12-04,38.19,42.06
2009-12-07,38.65,42.6
2009-12-08,38.34,42.28
2009-12-09,37.85,41.7
2009-12-10,38.08,41.99
2009-12-11,38.16,42.08
2009-12-14,38.3,42.25
2009-12-15,38.04,41.98
2009-12-16,37.65,41.49
2009-12-17,36.82,40.5
2009-12-18,35.52,39.11
2009-12-21,35.86,39.44
2009-12-22,34.93,38.33
2009-12-23,35.45,38.86
2009-12-24,36.72,40.35
2009-12-25,36.76,40.41
2009-12-28,37.28,41.02
2009-12-29,37.4,41.19
2009-12-30,37.71,41.58
2009-12-31,37.94,41.8
2010-01-04,37.55,41.42
2010-01-05,37.54,41.45
2010-01-06,37.5,41.5
2010-01-07,36.73,40.65
2010-01-08,36.9,40.78
2010-01-11,36.62,40.49
2010-01-12,37.2,41.23
2010-01-13,36.42,40.19
2010-01-14,37.06,40.83
2010-01-15,37.36,41.09
2010-01-18,37.76,41.49
2010-01-19,37.71,41.47
2010-01-20,36.18,40.03
2010-01-21,36.25,40.02
2010-01-22,35.3,38.94
2010-01-25,34.94,38.89
2010-01-26,34.01,37.81
2010-01-27,33.77,37.47
2010-01-28,34.13,37.83
2010-01-29,33.81,37.77
2010-02-01,33.02,37.2
2010-02-02,32.76,36.87
2010-02-03,33.61,37.9
2010-02-04,33.29,37.81
2010-02-05,32.62,37.07
